usage_date_utc,model,workspace,context_window,token_type,cost_usd,cost_type
10/17/2025,Claude Haiku 4.5,Claude Code,≤ 200k,input_no_cache,0.02,token
10/17/2025,Claude Haiku 4.5,Claude Code,≤ 200k,output,0.01,token
10/17/2025,Claude Sonnet 4.5,Claude Code,≤ 200k,input_no_cache,0,token
10/17/2025,Claude Sonnet 4.5,Claude Code,≤ 200k,input_cache_write_5m,0.23,token
10/17/2025,Claude Sonnet 4.5,Claude Code,≤ 200k,input_cache_read,0.2,token
10/17/2025,Claude Sonnet 4.5,Claude Code,≤ 200k,output,0.21,token
10/18/2025,Claude Haiku 4.5,Claude Code,≤ 200k,input_no_cache,0.02,token
10/18/2025,Claude Haiku 4.5,Claude Code,≤ 200k,output,0,token
10/18/2025,Claude Sonnet 4.5,Claude Code,≤ 200k,input_no_cache,0,token
10/18/2025,Claude Sonnet 4.5,Claude Code,≤ 200k,input_cache_write_5m,1.19,token
10/18/2025,Claude Sonnet 4.5,Claude Code,≤ 200k,input_cache_read,0.94,token
10/18/2025,Claude Sonnet 4.5,Claude Code,≤ 200k,output,0.35,token
10/19/2025,Claude Haiku 4.5,Claude Code,≤ 200k,input_no_cache,0.01,token
10/19/2025,Claude Haiku 4.5,Claude Code,≤ 200k,output,0,token
10/19/2025,Claude Sonnet 4.5,Claude Code,≤ 200k,input_no_cache,0,token
10/19/2025,Claude Sonnet 4.5,Claude Code,≤ 200k,input_cache_write_5m,0.46,token
10/19/2025,Claude Sonnet 4.5,Claude Code,≤ 200k,input_cache_read,0.39,token
10/19/2025,Claude Sonnet 4.5,Claude Code,≤ 200k,output,0.09,token
10/20/2025,Claude Haiku 4.5,Claude Code,≤ 200k,input_no_cache,0.04,token
10/20/2025,Claude Haiku 4.5,Claude Code,≤ 200k,output,0.02,token
10/20/2025,Claude Sonnet 4.5,Claude Code,≤ 200k,input_no_cache,0,token
10/20/2025,Claude Sonnet 4.5,Claude Code,≤ 200k,input_cache_write_5m,1.79,token
10/20/2025,Claude Sonnet 4.5,Claude Code,≤ 200k,input_cache_read,1.92,token
10/20/2025,Claude Sonnet 4.5,Claude Code,≤ 200k,output,0.48,token
10/21/2025,Claude Haiku 4.5,Claude Code,≤ 200k,input_no_cache,0.07,token
10/21/2025,Claude Haiku 4.5,Claude Code,≤ 200k,output,0.03,token
10/21/2025,Claude Sonnet 4.5,Claude Code,≤ 200k,input_no_cache,0.03,token
10/21/2025,Claude Sonnet 4.5,Claude Code,≤ 200k,input_cache_write_5m,3.11,token
10/21/2025,Claude Sonnet 4.5,Claude Code,≤ 200k,input_cache_write_5m,3.44,token
10/21/2025,Claude Sonnet 4.5,Claude Code,≤ 200k,input_cache_read,4.39,token
10/21/2025,Claude Sonnet 4.5,Claude Code,≤ 200k,output,1.83,token
